impl,msg_size,threads,duration_s,total_bytes,total_msgs,total_gbps,weighted_avg_oneway_us,cycles,context_switches,cache_misses,L1_dcache_load_misses,LLC_load_misses
A1,64,1,10,653566848,10211982,0.525984,0.973000,34513547276,107,8895,153699505,1694
A2,64,1,10,621666944,9713546,0.501676,1.021000,34390285467,83,7225,113088801,1559
A3,64,1,10,603682240,9432535,0.487297,1.051000,34378003488,88,5104,123038372,1101
A1,64,2,10,1206231808,18847372,0.973484,1.051977,63532034759,119,8587,231780797,1611
A2,64,2,10,1215254784,18988356,0.980725,1.044479,63646310039,118,8186,259747664,2038
A3,64,2,10,1138807168,17793862,0.919165,1.113999,64647363175,71,11313,219501438,2139
A1,64,4,10,2201537984,34399032,1.777079,1.152460,114233531636,114,44690,517482705,17274
A2,64,4,10,2218310912,34661108,1.788864,1.144976,114437694676,102,13379,420833863,3158
A3,64,4,10,2049067520,32016680,1.652427,1.239258,113275148264,99,14388,420644696,4163
A1,64,8,10,4263825600,66622275,3.440186,1.190664,221877485212,174,22570,835665537,6382
A2,64,8,10,4279220992,66862828,3.451466,1.186724,222055138038,158,21645,826838519,5280
A3,64,8,10,3948892544,61701447,3.185383,1.285843,221964479025,147,43475,870390357,13176
A1,256,1,10,1377764352,5382180,1.111612,1.842000,34384717533,61,5363,267471409,1287
A2,256,1,10,1417317888,5536591,1.144240,1.790000,34357300000,84,5567,285078471,1210
A3,256,1,10,1372778496,5362501,1.108126,1.848000,34337165049,83,4872,288398547,1326
A1,256,2,10,2642727168,10323316,2.132748,1.920476,63450554912,104,9036,520453467,1615
A2,256,2,10,2661989120,10398601,2.148330,1.906562,63264561131,88,17471,535979966,3999
A3,256,2,10,2570534656,10041289,2.073760,1.975435,63351968733,56,9108,515242660,2129
A1,256,4,10,4752253952,18563564,3.833286,2.137284,111742854609,138,32671,955705662,7029
A2,256,4,10,4708541696,18392861,3.800036,2.155729,111640877728,110,15313,1011542309,3604
A3,256,4,10,4585458688,17912074,3.699617,2.214386,111575394064,106,14207,941112353,4398
A1,256,8,10,9455869952,36937255,7.631955,2.146672,221350921135,259,55616,1944520665,14979
A2,256,8,10,9590011648,37461249,7.733584,2.118573,221740023899,219,53362,1935497508,13413
A3,256,8,10,9233185792,36067436,7.448104,2.199639,221793585509,234,55899,1827437778,12366
A1,1024,1,10,2693433344,2894934,2.171923,3.427000,34299796161,79,5361,429250993,1221
A2,1024,1,10,2653545472,2820826,2.142310,3.513000,34125661410,57,4024,424952302,922
A3,1024,1,10,2722288640,2869160,2.197914,3.453000,34338172031,80,4654,460516699,1239
A1,1024,2,10,5158256640,5417994,4.162666,3.659399,62959835803,128,6812,845786433,1652
A2,1024,2,10,5260098560,5484505,4.244947,3.614938,64054988811,84,8825,820899413,2253
A3,1024,2,10,5134896128,5312615,4.143173,3.732832,63371122756,76,8143,834099337,2631
A1,1024,4,10,9285276672,9675701,7.491178,4.099210,111586576728,89,11040,1520515258,2902
A2,1024,4,10,9581107200,9949249,7.732072,3.985441,112910457630,124,12746,1518317791,3315
A3,1024,4,10,9397322752,9798712,7.582334,4.047615,114523859609,111,16591,1521232223,4796
A1,1024,8,10,18867466240,19463204,15.231887,4.072921,221642891153,191,29559,3007031445,8811
A2,1024,8,10,18898203648,19539612,15.247156,4.059825,222069937119,195,39573,3000279083,13638
A3,1024,8,10,17895123968,19015595,14.439293,4.171333,222053380337,179,31319,3081351160,8866
A1,4096,1,10,6300225536,1921832,5.080670,5.162000,34366015242,79,5541,709910481,1246
A2,4096,1,10,6191591424,1911705,4.993934,5.188000,34398096283,72,4161,690036040,928
A3,4096,1,10,6255194112,1903459,5.048402,5.208000,34209182160,97,4736,722905799,1223
