impl,msg_size,threads,duration_s,total_bytes,total_msgs,total_gbps,weighted_avg_oneway_us,cycles,context_switches,cycles_per_byte,ctx_switches_per_sec,cache_misses,L1_dcache_load_misses,LLC_load_misses,cache_misses_per_gb,cache_misses_per_mmsg,L1_misses_per_gb,L1_misses_per_mmsg,LLC_misses_per_gb,LLC_misses_per_mmsg
A1,64,1,10,653566848,10211982,0.525984,0.973,34513547276,107,52.80798342452033,10.7,8895,153699505,1694,14613.552620833058,871.035612871233,252512175.84187672,15050898.542516036,2783.064433916942,165.8835669706429
A2,64,1,10,621666944,9713546,0.501676,1.021,34390285467,83,55.31946937008122,8.3,7225,113088801,1559,12479.004639500343,743.8066386878695,195326736.65806657,11642380.75364033,2692.7014855337075,160.49751553140328
A3,64,1,10,603682240,9432535,0.487297,1.051,34378003488,88,56.94718381643959,8.8,5104,123038372,1101,9078.249957620088,541.1058639061504,218842691.10396644,13044040.864942458,1958.2980414066844,116.72365912238863
A1,64,2,10,1206231808,18847372,0.973484,1.051977,63532034759,119,52.669838697372505,11.9,8587,231780797,1611,7643.821843809312,455.60728572662543,206322478.05801,12297778.013826013,1434.0511226711076,85.4761077565615
A2,64,2,10,1215254784,18988356,0.980725,1.044479,63646310039,118,52.37281175681428,11.8,8186,259747664,2038,7232.763603968664,431.1063053589263,229500787.97887632,13679312.943153162,1800.6807017942997,107.32893358435032
A3,64,2,10,1138807168,17793862,0.919165,1.113999,64647363175,71,56.767611753388614,7.1,11313,219501438,2139,10666.635753834666,635.7810350557962,206960301.1216232,12335795.230962226,2016.788992968474,120.20999151280368
A1,64,4,10,2201537984,34399032,1.777079,1.15246,114233531636,114,51.88805846921967,11.4,44690,517482705,17274,21796.363480122447,1299.164464860523,252388479.14202234,15043525.20733723,8424.935841477627,502.1652934884912
A2,64,4,10,2218310912,34661108,1.788864,1.144976,114437694676,102,51.587761687032625,10.2,13379,420833863,3158,6475.914528294941,385.9945850548113,203698641.70716667,12141385.180185238,1528.5849525641247,91.11076310659197
A3,64,4,10,2049067520,32016680,1.652427,1.239258,113275148264,99,55.281315602523435,9.9,14388,420644696,4163,7539.5257661943715,449.3907550689203,220424070.3297886,13138298.41195277,2181.473850755294,130.0259739610728
A1,64,8,10,4263825600,66622275,3.440186,1.190664,221877485212,174,52.03718585769549,17.4,22570,835665537,6382,5683.711117940658,338.7755821907913,210442246.50096372,12543335.348425133,1607.1530507176467,95.79378668771068
A2,64,8,10,4279220992,66862828,3.451466,1.186724,222055138038,158,51.89148643015444,15.8,21645,826838519,5280,5431.16184556238,323.72247252240066,207470261.80799747,12366191.256522983,1324.8572208163257,78.96764402486835
A3,64,8,10,3948892544,61701447,3.185383,1.285843,221964479025,147,56.20929831637373,14.7,43475,870390357,13176,11821.270211398287,704.6026003247541,236667500.8508895,14106482.089471905,3582.6809960985356,213.54442465506523
A1,256,1,10,1377764352,5382180,1.111612,1.842,34384717533,61,24.956893015185226,6.1,5363,267471409,1287,4179.580777912303,996.4363882293048,208450188.27102736,49695738.34394242,1003.005866338455,239.12243737667637
A2,256,1,10,1417317888,5536591,1.14424,1.79,34357300000,84,24.241068493450072,8.4,5567,285078471,1210,4217.48768206332,1005.4923688601885,215971787.29368517,51489891.70411902,916.6804554152357,218.5460331095434
A3,256,1,10,1372778496,5362501,1.108126,1.848,34337165049,83,25.01289548827548,8.3,4872,288398547,1326,3810.7168649355067,908.5312991083824,225575781.37844732,53780604.79615761,1037.1532354073238,247.27268116127158
A1,256,2,10,2642727168,10323316,2.132748,1.920476,63450554912,104,24.009498854177593,10.4,9036,520453467,1615,3671.3328712652037,875.3001458058632,211460593.3334484,50415338.152973324,656.1755851143541,156.44198046441667
A2,256,2,10,2661989120,10398601,2.14833,1.906562,63264561131,88,23.765897709980123,8.8,17471,535979966,3999,7047.114981110066,1680.1298559296583,216193260.1438649,51543468.78007917,1613.039483112538,384.5709629593443
A3,256,2,10,2570534656,10041289,2.07376,1.975435,63351968733,56,24.64544431841342,5.6,9108,515242660,2129,3804.516118919036,907.0548611836588,215222771.75282395,51312402.22246367,889.3077313547022,212.02457174571907
A1,256,4,10,4752253952,18563564,3.833286,2.137284,111742854609,138,23.51365388669364,13.8,32671,955705662,7029,7381.806504078004,1759.9529917854136,215935669.91324952,51482875.917577036,1588.1582417790792,378.6449627883956
A2,256,4,10,4708541696,18392861,3.800036,2.155729,111640877728,110,23.71028758709754,11.0,15313,1011542309,3604,3491.995953838528,832.5512817174011,230673391.89998576,54996463.51918823,821.8607338623427,195.9455899764588
A3,256,4,10,4585458688,17912074,3.699617,2.214386,111575394064,106,24.332439054786224,10.6,14207,941112353,4398,3326.744635926813,793.1521497733875,220373088.7694243,52540669.1039798,1029.846055381581,245.5327060395128
A1,256,8,10,9455869952,36937255,7.631955,2.146672,221350921135,259,23.408837289284243,25.9,55616,1944520665,14979,6315.360256298077,1505.6884979677022,220806036.48754507,52643886.63965419,1700.9094735164142,405.5255324197751
A2,256,8,10,9590011648,37461249,7.733584,2.118573,221740023899,219,23.12197649366192,21.9,53362,1935497508,13413,5974.6550176753235,1424.4586452523245,216707205.46213195,51666657.1368189,1501.7811879629533,358.04999454236025
A3,256,8,10,9233185792,36067436,7.448104,2.199639,221793585509,234,24.02134978169407,23.4,55899,1827437778,12366,6500.583392546987,1549.8467925471607,212515638.39388484,50667249.48233082,1438.0617583898825,342.8577512413136
A1,1024,1,10,2693433344,2894934,2.171923,3.427,34299796161,79,12.734599962314865,7.9,5361,429250993,1221,2137.1718484465305,1851.8556899742791,171121644.8717252,148276607.68777457,486.75374500153214,421.77127354198745
A2,1024,1,10,2653545472,2820826,2.14231,3.513,34125661410,57,12.86040196789211,5.7,4024,424952302,922,1628.2883204256618,1426.5325121081557,171954490.57768354,150648179.64667088,373.0819660617446,326.85461634287265
A3,1024,1,10,2722288640,2869160,2.197914,3.453,34338172031,80,12.61371462469167,8.0,4654,460516699,1239,1835.6592961780864,1622.0775418589412,181639828.01130116,160505757.43423164,488.69399827345273,431.8337074265639
A1,1024,2,10,5158256640,5417994,4.162666,3.659399,62959835803,128,12.205642370481202,12.8,6812,845786433,1652,1417.9847602712532,1257.2919054543065,176058759.89990947,156106934.2269482,343.8800387504566,304.9098983867461
A2,1024,2,10,5260098560,5484505,4.244947,3.614938,64054988811,84,12.177526348669787,8.4,8825,820899413,2253,1801.4437350770856,1609.078667992827,167569870.21839175,149676117.17010012,459.9039926491415,410.7936814717098
A3,1024,2,10,5134896128,5312615,4.143173,3.732832,63371122756,76,12.3412667318516,7.6,8143,834099337,2631,1702.7568727544083,1532.7668201064823,174415863.76478514,157003535.358764,550.1600555344281,495.2363384133802
A1,1024,4,10,9285276672,9675701,7.491178,4.09921,111586576728,89,12.01758231550518,8.9,11040,1520515258,2902,1276.6565990118943,1141.002600225038,175831144.74854827,157147813.68295693,335.5849139793947,299.92658929828445
A2,1024,4,10,9581107200,9949249,7.732072,3.985441,112910457630,124,11.784698289358458,12.4,12746,1518317791,3315,1428.427112130005,1281.1017193358011,170155836.92874146,152606271.18690065,371.50760055789794,333.1909775300628
A3,1024,4,10,9397322752,9798712,7.582334,4.047615,114523859609,111,12.186860303869661,11.1,16591,1521232223,4796,1895.6942388929456,1693.181716127589,173816597.02003548,155248181.90390736,547.9928617762984,489.4520830901041
A1,1024,8,10,18867466240,19463204,15.231887,4.072921,221642891153,191,11.747358565990469,19.1,29559,3007031445,8811,1682.1937917836708,1518.7119243059878,171129254.32109615,154498275.05276108,501.4313576036376,452.70038787036293
A2,1024,8,10,18898203648,19539612,15.247156,4.059825,222069937119,195,11.750848983072617,19.5,39573,3000279083,13638,2248.424558894456,2025.2705120244966,170467267.4236105,153548549.6334318,774.8721131630807,697.9667764129605
A3,1024,8,10,17895123968,19015595,14.439293,4.171333,222053380337,179,12.408596930318845,17.9,31319,3081351160,8866,1879.2001802273294,1647.0165671912973,184886990.49189597,162043373.34698176,531.9770362366455,466.24888676899144
A1,4096,1,10,6300225536,1921832,5.08067,5.162,34366015242,79,5.454727778494563,7.9,5541,709910481,1246,944.3476924417203,2883.186459586478,120989410.67903657,369392580.10065395,212.35466969543106,648.3397091941439
A2,4096,1,10,6191591424,1911705,4.993934,5.188,34398096283,72,5.55561469215576,7.2,4161,690036040,928,721.5979582156615,2176.59105353598,119665608.641966,360953201.4615226,160.93316636004178,485.4305449847126
A3,4096,1,10,6255194112,1903459,5.048402,5.208,34209182160,97,5.468924152868879,9.7,4736,722905799,1223,812.9629852267005,2488.1019239185084,124091143.66400614,379785327.1333924,209.9353317002227,642.5144959781114
A1,4096,2,10,11595722752,3602979,9.360486,5.501426,63415185626,92,5.468842864069194,9.2,5739,1258674051,1360,531.4204607792265,1592.8485844630236,116550817.93923603,349342599.83197236,125.93340767725178,377.4654251384757
A2,4096,2,10,11715928064,3711216,9.45596,5.341782,63741304026,120,5.440568060660977,12.0,7087,1312097093,1839,649.5096474747355,1909.6166862828788,120251124.64047626,353549104.3905825,168.54074244476345,495.5249169005523
A3,4096,2,10,11816030208,3580607,9.530552,5.540119,63600749416,56,5.382581822864616,5.6,7802,1313262306,2707,708.9803904847972,2178.960159548367,119338275.12392275,366770859.24258095,245.9894792415209,756.0170663800858
A1,4096,4,10,21036580864,6751522,16.967788,5.876348,112066793535,87,5.327234224016909,8.7,8906,2328234710,2496,454.5769460525199,1319.109972536563,118836944.10119855,344845904.3753394,127.39996152561078,369.6944185325916
A2,4096,4,10,21522075648,6855844,17.357656,5.787385,112837466377,96,5.242871004753008,9.6,14197,2418252579,4308,708.2919382241175,2070.7880751078933,120647235.7748384,352728647.1220757,214.9272148953651,628.3690235658804
A3,4096,4,10,21278007296,6428814,17.174562,6.166976,112823986458,90,5.302375588488942,9.0,10054,2404435439,2685,507.35015494262944,1563.896544525942,121333866.37419926,374009177.8981317,135.49186055509847,417.65090730576435
A1,4096,8,10,42977046528,13165929,34.656635,6.027894,221896571696,136,5.16314148184734,13.6,19374,4747208422,6346,484.0415007258081,1471.5254806554099,118604619.01739833,360567676.0067596,158.54895032548663,482.00168784139726
A2,4096,8,10,42805211136,13459082,34.527851,5.895187,222156842289,134,5.189948522463001,13.4,22994,4756592808,6412,576.7900413482964,1708.4374699552316,119316141.70667695,353411384.81807303,160.8409909161206,476.40693473745085
